scientific_name,family,group,origin,comments,source
Baccharis salicifolia ssp. salicifolia,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Balsamorhiza lanata,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Berberis julianae,Berberidaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Berberis vulgaris,Berberidaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Beta vulgaris,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Betula × utahensis,Betulaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Bouteloua dactyloides,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Bouteloua gracilis,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Brachypodium distachyon,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Brachypodium pinnatum,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Brassica elongata,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Brodiaea minor,Asparagaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Bromus madritensis,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Bupleurum odontites,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Bupleurum rotundifolium,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Butomus umbellatus,Butomaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Calendula officinalis,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Calycanthus occidentalis,Calycanthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Calystegia sepium ssp. erratica,Convolvulaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cardamine flexuosa,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Planodes virginicum,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Polypogon australis,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Polypogon fugax,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Pseudosasa japonica,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Puccinellia simplex,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Quercus palustris,Fagaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Quercus robur,Fagaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Quercus rubra,Fagaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Rapistrum rugosum,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Romulea rosea var. australis,Iridaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Rorippa indica,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Rudbeckia hirta var. pulcherrima,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Sagina alexandrae,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
