plant_type,scientific_name,cultivar,botanical_name_raw,common_name,total_on_site,grower_source,comments
Shrub/Tree,Amelanchier alnifolia,,Amelanchier alnifolia,Serviceberry,1,Jayker,
Shrub/Tree,Chilopsis linearis,,Chilopsis linearis,'Art's Seedless' Desert Willow,1,Mountain States,Remove any winter die-back in late spring
Shrub/Tree,Chilopsis linearis,,Chilopsis linearis,'Bubba' Desert Willow,1,Mountain States,Remove any winter die-back in late spring
Shrub/Tree,Chilopsis linearis,,Chilopsis linearis,'Monhews' Desert Willow,2,HCG,Remove any winter die-back in late spring
Shrub/Tree,Chitalpa,,Chitalpa,El Nino® Desert Orchid,1,Franz Witte,Remove any winter die-back in late spring
Shrub/Tree,Crataegus columbiana,,Crataegus columbiana,Columbia Hawthorn,5,Lawyers,"Fantastic performer, attracts wildlife, nice fall color"
Shrub/Tree,Crataegus douglasii,,Crataegus douglasii,Douglas Hawthorn,4,Jayker,
Tree,Acer tataricum ssp. ginnala,,Acer tataricum ssp. ginnala,Amur Maple,1,BSU Hort,
Tree,Aesculus hippocastanum,,Aesculus hippocastanum,'Braumannii' Horse Chestnut,2,Horticulture,
Tree,Celtis occidentalis,,Celtis occidentalis,Hackberry,1,Jayker,"Native, tough tree"
Tree,Celtis reticulata,,Celtis reticulata,Netleaf Hackberry,5,Existing,
Tree,Larix occidentalis,,Larix occidentalis,Western Larch,4,UI Pitkin Forest Nursery / Lawyers,
Tree,Malus,,Malus,Crabapple,1,,'Prairie Fire' is a likely cultivar
Tree,Quercus fusiformis,,Quercus fusiformis,Escarpment Live Oak,1,Mountain States,"Nice semi-evergreen option for firewise, drought tolerant oak"
Tree,Rhamnus (Frangula) purshiana,,Rhamnus (Frangula) purshiana,Cascara Buckthorn,1,UI Pitkin Forest Nursery,
Tree,Rhus typhina,,Rhus typhina,Staghorn Sumac,6+,Lawyers,
Vine,Akebia quinata,,Akebia quinata,Five-leaf Akebia/Chocolate Vine,1,Edwards GH,
Vine,Bignonia capreolata,,Bignonia capreolata,'Dragon Lady' Crossvine,1,Far West,In front of N Greenhouse
Vine,Campsis x tagliabuana,,Campsis x tagliabuana,'Madame Galen' Trumpet Creeper,1,Walla Walla Nursery Co.,"Volunteers, do not overwater"
Vine,Lathyrus odoratus,,Lathyrus odoratus,Sweet Pea,2,Roger,"Spreads aggressively with H20, in the process of removing more each season"
Vine,Lonicera japonica,,Lonicera japonica,Hall's Japanese Honeysuckle,1,Jayker,
Vine,Lonicera x brownii,,Lonicera x brownii,‘Dropmore Scarlet’ Honeysuckle,1,,
Vine,Parthenocissus quinquefolia,,Parthenocissus quinquefolia,Virginia Creeper,2,Walla Walla Nursery Co.,Watch for invasiveness
Vine,Vitis hybrid,,Vitis hybrid,Grape,1,Walla Walla Nursery Co.,
Vine,Vitis labrusca,,Vitis labrusca,'Concord' Grape,2,Franz Witte,
Vine,Vitis vinifera,,Vitis vinifera,'Purpurea' Grape,3,Walla Walla Nursery Co.,
