scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Anigozanthos  'Kanga Pink',Kanga Pink Kangaroo Paw,,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Anigozanthos  'Kanga Red',Kanga Red Kangaroo Paw,Perennial,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Anigozanthos  'Rambocity',Bush GMS® Tenacity Yellow Kangaroo Paw,Perennial,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Anigozanthos bicolor,two-colored kangaroo paw,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Anigozanthos flavidus,kangaroo paw,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Anigozanthos humilis x flavidus 'Ramboball' PP20271,Bush Ballad Kangaroo Paw,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Anigozanthos manglesii,red and green kangaroo paw,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Anigozanthos rufus,red kangaroo paw,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Anigozanthos viridis,green kangaroo paw,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Anisacanthus spp. & cvs.,desert honeysuckle,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Anisodontea X hypomandarum,South African mallow,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Anisodontea hybrids and cvs.,mallow,Perennial,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Anisodontea scabrosa,false mallow,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Annona cherimola,cherimoya,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Antennaria microphylla,little leaf pussy toes,"Perennial, California Native",Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Antennaria rosea,pussy toes,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Anthemis carpatica 'Karpatenschnee',dwarf chamomile,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Anthoxanthum nitens ssp. nitens (Hierochloe odorata),vanilla grass,"Ornamental Grass, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Anthoxanthum occidentale (Hierochloe occidentalis),sweet grass,"Ornamental Grass, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Antigonon leptopus,coral vine,"Ground Cover, Vine",Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Antirrhinum hispanicum,Spanish snapdragon,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Antirrhinum multiflorum,multiflowered snapdragon,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Antirrhinum nuttallianum,Nuttall's Snapdragon,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Antirrhinum sempervirens,silver snapdragon,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aphanopetalum resinosum 'Gossamer Wings',shiny-leaved gum vine,Vine,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Apocynum cannabinum,Indian hemp,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aptenia 'Red Apple',ice plant (Red Apple),"Ground Cover, Perennial",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Aptenia cordifolia,ice plant (Aptenia),"Ground Cover, Perennial",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Aquilegia  hybrids,Columbine hybrids,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aquilegia eximia,Serpentine columbine,,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aquilegia spp. & cvs. (CA native and non-native spp.),columbine,"Perennial, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Arabis spp.,rockcress,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arachniodes davalliaeformis (nomen unresolved TPL),shiny bristle fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arachniodes simplicior (SHADE),Indian holly fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arachniodes standishii   (SHADE),upside-down fern,Perennial,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aralia californica (SHADE),elk clover,"Perennial, California Native",Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aralia spinosa,Hercules's club,"Shrub, Tree",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Araucaria araucana,monkey puzzle tree,Tree,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Araucaria bidwillii,bunya-bunya,Tree,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Araucaria columnaris (A. cookii),New Caledonian pine,Tree,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Araucaria heterophylla,Norfolk Island pine,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arbutus 'Marina',Marina arbutus,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arbutus andrachne,Greek strawberry tree,"Tree, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arbutus menziesii,madrone,"Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arbutus texana,Texas madrone,Tree,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arbutus unedo & ssp. & cvs.,strawberry tree,"Shrub, Tree",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Archontophoenix cunninghamiana,king palm,"Tree, Palm and Cycad",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'Austin Griffiths',Austin Griffiths manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'Emerald Carpet',Emerald Carpet manzanita,"Ground Cover, Shrub, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'John Dourley',John Dourley manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'Lester Rowntree',Lester Rountree manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'Pacific Mist',Pacific Mist manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'Sunset',Sunset manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos 'Winterglow',Winter Glow manzanita,"Ground Cover, Shrub, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos bakeri,Baker's Manzanita,Shrub,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos bakeri 'Louis Edmunds',Louis Edmunds manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos canescens,hoary manzanita,"Shrub, California Native",Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos catalinae,Catalina manzanita,"Shrub, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos densiflora & ssp. & cvs.,"manzanita cvs. e.g. Howard McMinn, Sentinel","Shrub, California Native, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos densiflorus,Vine Hill Manzanita,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos edmundsii & ssp. & cvs.,manzanita Carmel Sur etc.,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos edmundsii 'Bert Johnson',Bert Johnson manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos edmundsii 'Big Sur',Big Sur manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos edmundsii 'Rosy Dawn',Rosy Dawn manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos glandulosa,Eastwood's manzanita,"Shrub, California Native",Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos glauca,big berry manzanita,"Shrub, Tree, California Native",Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos hookeri,manzanita (shrub cvs.),"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos hookeri 'Buxifolia',Buxifolia manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos hookeri 'Ken Taylor',Ken Taylor manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos hookeri 'Monterey Carpet',Monterey carpet manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos hookeri 'Wayside',Wayside manzanita,"Ground Cover, Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos insularis,island manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos manzanita,common manzanita,"Shrub, Tree, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos manzanita & ssp. & cvs.,"manzanita cvs. e.g., Dr Hurd, St. Helena","Shrub, Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos morroensis,Morro manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos nevadensis,Pinemat Manzanita,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arctostaphylos nummularia,Ft. Bragg manzanita,"Shrub, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos otayensis,Otay manzanita,"Shrub, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos pajaroensis & ssp. & cvs.,Pajaro manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos patula,Greenleaf Manzanita,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos pringlei,pink bract manzanita,"Shrub, California Native",Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos pumila,Sandmat Manzanita,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos pungens,Mexican manzanita,"Shrub, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos purissima 'Vandenberg',Vandenberg manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos refugioensis,Refugio manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos rudis & ssp. & cvs.,shagbark manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos silvicola,ghostly manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos stanfordiana,Stanford's Manzanita,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi,Bearberry,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Green Supreme',Green Supreme manzanita,"Ground Cover, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Massachusetts',Massachussetts manzanita,Ground Cover,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Point Reyes',Pt. Reyes manzanita,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Radiant',Radiant manzanita,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'San Bruno Mountain',San Bruno Mtn manzanita,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Tom's Point',Tom's Point manzanita,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Vancouver Jade',Vancouver Jade Barberry,Ground Cover,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos uva-ursi 'Wood's Compact',Wood's compact manzanita,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos viridissima 'White Cloud',White Cloud manzanita,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctostaphylos viscida,whiteleaf manzanita,"Shrub, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
