symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,True,OR
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,True,OR
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,True,OR
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,True,OR
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,True,OR
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,True,OR
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,True,OR
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,True,OR
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,True,OR
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,True,OR
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,True,OR
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,True,OR
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,True,OR
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,True,OR
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,True,OR
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,True,OR
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,True,OR
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,True,OR
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,True,OR
ACMIP,,Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones,Pacific yarrow,Asteraceae,False,OR
ACMIP,ACPA5,Achillea pacifica Rydb.,,Asteraceae,True,OR
ACMO2,,Achyrachaena mollis Schauer,blow wives,Asteraceae,False,OR
ACNE10,,Achnatherum nevadense (B.L. Johnson) Barkworth,Nevada needlegrass,Poaceae,False,OR
ACNE10,STNE4,Stipa nevadensis B.L. Johnson,,Poaceae,True,OR
ACNE2,,Acer negundo L.,boxelder,Aceraceae,False,OR
ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae,False,OR
ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass,Poaceae,False,OR
ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,,Poaceae,True,OR
ACNED,STCO3,"Stipa columbiana Macoun, nom. utique rej.",,Poaceae,True,OR
ACNED,STMI6,Stipa minor (Vasey) Scribn.,,Poaceae,True,OR
ACNED,STNED,Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze,,Poaceae,True,OR
ACNED,STNED2,Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn,,Poaceae,True,OR
ACNED,STOCM,"Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.",,Poaceae,True,OR
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,False,OR
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,True,OR
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,True,OR
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,True,OR
ACNO7,,Acaena novae-zelandiae Kirk,biddy-biddy,Rosaceae,False,OR
ACNO7,ACAN3,Acaena anserinifolia auct. non (J.R. Forst. & G. Forst.) Druce,,Rosaceae,True,OR
ACNO7,ACNO4,"Acaena novae-zelandica Kirk, orth. var.",,Rosaceae,True,OR
ACNO7,ACSA4,Acaena sanguisorbae auct. non (L. f.) Vahl,,Rosaceae,True,OR
ACOC3,,Achnatherum occidentale (Thurb.) Barkworth,western needlegrass,Poaceae,False,OR
ACOCC,,Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth,California needlegrass,Poaceae,False,OR
