symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
CLSI2,,Claytonia sibirica L.,Siberian springbeauty,Portulacaceae,False,CA
CLSIB,,Claytonia sibirica L. var. bulbifera A. Gray,Siberian springbeauty,Portulacaceae,False,CA
CLSIB,MOSIB,Montia sibirica (L.) Howell var. bulbifera (A. Gray) B.L. Rob.,,Portulacaceae,True,CA
CLSIS,,Claytonia sibirica L. var. sibirica,Siberian springbeauty,Portulacaceae,False,CA
CLSIS,MOSI2,Montia sibirica (L.) Howell,,Portulacaceae,True,CA
CLSP,,Clarkia speciosa F.H. Lewis & M.E. Lewis,redspot clarkia,Onagraceae,False,CA
CLSP2,,Cleome sparsifolia S. Watson,fewleaf spiderflower,Capparaceae,False,CA
CLSP6,,Clarkia springvillensis Vasek,Springville clarkia,Onagraceae,False,CA
CLSPI,,Clarkia speciosa F.H. Lewis & M.E. Lewis ssp. immaculata F.H. Lewis & M.E. Lewis,Pismo clarki,Onagraceae,False,CA
CLSPN,,Clarkia speciosa F.H. Lewis & M.E. Lewis ssp. nitens (F.H. Lewis & M.E. Lewis) Lewis & P.H. Raven,redspot clarkia,Onagraceae,False,CA
CLSPN,CLNI,Clarkia nitens F.H. Lewis & M.E. Lewis,,Onagraceae,True,CA
CLSPP,,Clarkia speciosa F.H. Lewis & M.E. Lewis ssp. polyantha F.H. Lewis & M.E. Lewis,redspot clarkia,Onagraceae,False,CA
CLSPS,,Clarkia speciosa F.H. Lewis & M.E. Lewis ssp. speciosa,redspot clarkia,Onagraceae,False,CA
CLSPS,GOPA3,Godetia parviflora (Hook. & Arn.) Jeps.,,Onagraceae,True,CA
CLSPS,GOPAL,Godetia parviflora (Hook. & Arn.) Jeps. var. luteola C.L. Hitchc.,,Onagraceae,True,CA
CLSPS,GOPAM,Godetia parviflora (Hook. & Arn.) Jeps. var. margaritiae (Jeps.) C.L. Hitchc.,,Onagraceae,True,CA
CLST3,,Clarkia stellata Mosquin,Lake Almanor clarkia,Onagraceae,False,CA
CLTE3,,Clitoria ternatea L.,Asian pigeonwings,Fabaceae,False,CA
CLTE3,CLTEA,Clitoria ternatea L. var. alba hort.,,Fabaceae,True,CA
CLTE4,,Clematis terniflora DC.,sweet autumn virginsbower,Ranunculaceae,False,CA
CLTE5,,Clarkia tembloriensis Vasek,Temblor Range clarkia,Onagraceae,False,CA
CLTEC,,Clarkia tembloriensis Vasek ssp. calientensis (Vasek) Holsinger,Vasek's clarkia,Onagraceae,False,CA
CLTEC,CLCA4,Clarkia calientensis Vasek,,Onagraceae,True,CA
CLTET,,Clarkia tembloriensis Vasek ssp. tembloriensis,Temblor Range clarkia,Onagraceae,False,CA
CLUM,,Claytonia umbellata S. Watson,Great Basin springbeauty,Portulacaceae,False,CA
CLUN,,Clarkia unguiculata Lindl.,elegant clarkia,Onagraceae,False,CA
CLUN,CLEL,Clarkia elegans Douglas,,Onagraceae,True,CA
CLUN2,,Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth,bride's bonnet,Liliaceae,False,CA
CLUN2,SMBOU,Smilacina borealis (Aiton) Raf. var. uniflora Menzies ex Schult. & Schult. f.,,Liliaceae,True,CA
CLVI2,,Clarkia virgata Greene,Sierra clarkia,Onagraceae,False,CA
CLVI6,,Clematis vitalba L.,evergreen clematis,Ranunculaceae,False,CA
CLWA6,,Claytonia washingtoniana (Suksd.) Suksd.,Washington springbeauty,Portulacaceae,False,CA
CLWI,,Clarkia williamsonii (Durand & Hilg.) F.H. Lewis & M.E. Lewis,Fort Miller clarkia,Onagraceae,False,CA
CLWI,GOVIC,Godetia viminea (Douglas ex Hook.) Spach var. congdonii Jeps.,,Onagraceae,True,CA
CLWI,GOVII,Godetia viminea (Douglas ex Hook.) Spach var. incerta Jeps.,,Onagraceae,True,CA
CLXA,,Clarkia xantiana A. Gray,gunsight clarkia,Onagraceae,False,CA
CLXAP,,Clarkia xantiana A. Gray ssp. parviflora (Eastw.) H.F. Lewis & P.H. Raven,Kern Canyon clarkia,Onagraceae,False,CA
CLXAP,CLPA18,Clarkia parviflora Eastw.,,Onagraceae,True,CA
CLXAX,,Clarkia xantiana A. Gray ssp. xantiana,gunsight clarkia,Onagraceae,False,CA
CNBE,,Cnicus benedictus L.,blessed thistle,Asteraceae,False,CA
CNBE,CEBE5,Centaurea benedicta (L.) L.,,Asteraceae,True,CA
CNBE,CIPU6,Cirsium pugnax Sommier & Levier,,Asteraceae,True,CA
CNDU,,Cneoridium dumosum (Nutt.) Hook. f. ex Baill.,bush rue,Rutaceae,False,CA
