Latin binomial,Common Names,Rating,Alert,Impact Score,Invasiveness Score,Distribution Score,Documentation Score,CDFA Rating
Cuscuta japonica,Japanese dodder,Watch,,,,,,
Cynara cardunculus,artichoke thistle; cardoon; wild artichoke,Moderate,,B,B,B,4,
Cynodon dactylon,Bermuda grass; couch grass; devil grass; wire grass; vine grass; bermudagrass,Moderate,,B,B,B,3.5,
Cynoglossum officinale,common houndstongue; beggar's-lice; dog bur; dog's tongue; glovewort; gypsyflower; sheelice; sticktight; woolmat,Moderate,,B,B,B,3,
Cynosurus echinatus,hedgehog dogtail; annual dogtail; bristly dogtail grass; hedgehoggy,Moderate,,B,B,A,2.5,
Cytisus multiflorus,white Spanish broom,Watch,,,,,,
Cytisus proliferus,tagasaste,Watch,,,,,,
Cytisus scoparius,Scotch broom; English broom; common broom,High,,A,B,A,3.5,
Cytisus striatus,Portuguese broom; hairy-fruited broom,Moderate,,B,B,B,2.5,
Dactylis glomerata,orchard grass,Limited,,C,B,B,3,
Datura inoxia,pricklyburr,Watch,,,,,,
Delairea odorata,Cape-ivy; German ivy; Italian ivy; ivy groundsel; parlor ivy; water ivy,High,,A,A,B,2.5,
Descurainia sophia,"tansy mustard, flixweed",Limited,,C,B,B,2,
Digitalis purpurea,foxglove,Limited,,C,B,B,2.5,
Dipogon lignosus,"Cape sweet pea, okie bean",Watch,,,,,,
Dipsacus fullonum,wild teasel; common teasel; card thistle; Fuller's teasel,Moderate,,B,B,B,4,
Dipsacus laciniatus,cutleaf teasel,Watch,,,,,,
Dipsacus sativus,Fuller's teasel,Moderate,,B,B,B,4,
Dittrichia graveolens,stinkwort; stinkweed;  Khaki weed;,Moderate,Alert,B,A,C,3.5,
Dittrichia viscosa,false yellowhead,Watch,,,,,,
Echium candicans,pride-of-Madeira,Limited,,C,B,B,2,
Echium plantagineum,Patterson's curse,Watch,,,,,,
Egeria densa,Brazilian Egeria; Egeria,High,,A,A,B,3,
Ehrharta calycina,purple veldtgrass; African veldtgrass; perennial veldt grass,High,,A,A,B,3.5,
Ehrharta erecta,panic veldtgrass; Ehrharta; Lamarck's Ehrharta; panic veld grass; Stebbin's grass,Moderate,,B,B,B,2.5,
Ehrharta longiflora,long-flowered veldtgrass,Limited,,C,B,C,3,
Eichhornia crassipes,water hyacinth,High,,A,A,C,3,
Elaeagnus angustifolia,Russian olive; oleaster,Moderate,,B,A,B,2,
Elymus caput-medusae,medusahead,High,,A,A,A,3.5,
Emex spinosa,devil's thorn; spiny threecornerjack,Moderate,Alert,B,B,D,2,
