scientific_name,common_name,notes,categories
Ceanothus maritimus,MARITIME CEANOTHUS,,"Small Trees / Large Shrubs, Evergreen"
Ceanothus megacarpus,BIG POD CEANOTHUS,,Medium Evergreen to Semi-Evergreen Trees
Ceanothus parryi,PARRY’S CEANOTHUS,,Medium Evergreen to Semi-Evergreen Trees
Ceanothus prostratus,MAHALA MAT,,"Small Trees / Large Shrubs, Evergreen"
Ceanothus spinosus,GREEN BARK CEANOTHUS,,Medium Evergreen to Semi-Evergreen Trees
Ceanothus thyrsiflorus,BLUE BLOSSOM CEANOTHUS,,Medium Evergreen to Semi-Evergreen Trees
Celtis reticulata,WESTERN/NET-LEAVED HACKBERRY,,Medium Deciduous Trees
Cephalanthus occidentalis,BUTTONBUSH,,"Small Trees / Large Shrubs, Evergreen"
Cercis occidentalis,WESTERN REDBUD,,"Small Trees / Large Shrubs, Evergreen"
Cercocarpus betuloides,BIRCH-LEAF MOUNTAIN MAHOGANY,,Medium Evergreen to Semi-Evergreen Trees
Cerocarpus ledifolius,CURL-LEAF MOUNTAIN MAHOGANY,,Medium Evergreen to Semi-Evergreen Trees
Chamerion angustifolium,FIREWEED,,"Small Trees / Large Shrubs, Evergreen"
Chilopsis linearis,DESERT WILLOW,,"Medium Deciduous Trees; Small Trees / Large Shrubs, Evergreen"
Chrysolepis chrysophylla,GIANT/GOLDEN/WESTERN CHINQUAPIN,,Smaller trees and large shrubs with mature heights of less than
Chrysothamnus viscidiflorus,YELLOW RABBITBRUSH,,"Small Trees / Large Shrubs, Evergreen"
Clarkia amoena,FAREWELL TO SPRING,,"Small Trees / Large Shrubs, Evergreen"
Clarkia bottae,PUNCH BOWL GODETIA,,"Small Trees / Large Shrubs, Evergreen"
Clarkia breweri,FAIRY FANS,,"Small Trees / Large Shrubs, Evergreen"
Clarkia concinna,RED RIBBONS,,"Small Trees / Large Shrubs, Evergreen"
Clarkia gracilis,SLENDER CLARKIA,,"Small Trees / Large Shrubs, Evergreen"
Clarkia purpurea,WINECUP CLARKIA,,"Small Trees / Large Shrubs, Evergreen"
Clarkia rubicunda,RUBY CHALICE,,"Small Trees / Large Shrubs, Evergreen"
Clarkia species Gilia species Phacelia tanacetifolia,LACY PHACELIA,,"Small Trees / Large Shrubs, Evergreen"
Clarkia speciosa,RED-SPOTTED CLARKIA,,"Small Trees / Large Shrubs, Evergreen"
Clarkia unguiculata,ELEGANT CLARKIA,,"Small Trees / Large Shrubs, Evergreen"
Clarkia williamsonii,FORT MILLER CLARKIA,,"Small Trees / Large Shrubs, Evergreen"
Cneoridium dumosum,BUSH RUE,,"Small Trees / Large Shrubs, Evergreen"
"Collinsia herophylla, syn. Collinsia bicolor",PURPLE CHINESE HOUSES,,"Small Trees / Large Shrubs, Evergreen"
"Collinsia heterophylla, syn. Collinsia bicolor",PURPLE CHINESE HOUSES,,"Small Trees / Large Shrubs, Evergreen"
Collomia grandiflora,LARGE-FLOWERED COLLOMIA,,"Small Trees / Large Shrubs, Evergreen"
Comarostaphylis diversifolia,SUMMER HOLLY,,Medium Evergreen to Semi-Evergreen Trees
Corethrogyne filaginifolia,CALIFORNIA ASTER,,"Small Trees / Large Shrubs, Evergreen"
Cornus nuttalii,WESTERN DOGWOOD,,"Small Trees / Large Shrubs, Evergreen"
Cornus sericea,RED TWIG DOGWOOD,,"Small Trees / Large Shrubs, Evergreen"
Corylus cornuta var. californica,WESTERN HAZELNUT,,"Small Trees / Large Shrubs, Evergreen"
Crataegus douglasii,DOUGLAS HAWTHORN,,Medium Deciduous Trees
"Dasiphora fruticosa, syn. Potentilla fruticosa",SHRUBBY CINQUEFOIL,,"Small Trees / Large Shrubs, Evergreen"
Delphinium cardinale,SCARLET LARKSPUR,,"Small Trees / Large Shrubs, Evergreen"
Delphinium glaucum,"GLAUCUS LARKSPUR, SIERRA LARKSPUR","D. menziesii (MENZIES’ LARKSPUR), D. trolliofolium (COLUMBIAN LARKSPUR), and others Lepechinia fragrans (PITCHER SAGE)","Small Trees / Large Shrubs, Evergreen"
Delphinium nudicaule,RED LARKSPUR,,"Small Trees / Large Shrubs, Evergreen"
Dendromecon harfordii,ISLAND BUSH POPPY,,"Small Trees / Large Shrubs, Evergreen"
Dendromecon rigida,BUSH POPPY,,"Small Trees / Large Shrubs, Evergreen"
