scientific_name,common_name,swap_type,notes,categories
"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Myoporum laetum,FALSE SANDLEWOOD / NGAIO,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Myosotis latifolia,FORGET-ME-NOT,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Nandina domestica,HEAVENLY BAMBOO,BAD OR NOXIOUS,berries contain cyanide when ripe and may harm/kill some birds,"Small Trees / Large Shrubs, Evergreen"
Nerium oleander,OLEANDER,BAD OR NOXIOUS,"toxic to pets and most livestock, nectarless, no pollinator visitation","Small Trees / Large Shrubs, Evergreen"
Nicotiana glauca,TREE TOBACCO,BAD OR NOXIOUS,"seeds toxic to birds and other animals, plants toxic to some insects",Medium Deciduous Trees
Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Olea europaea,EUROPEAN EDIBLE OLIVE,BAD OR NOXIOUS,invasive in riparian areas,"Medium Evergreen to Semi-Evergreen Trees; Small Trees / Large Shrubs, Evergreen"
Oncosiphon pilulifer,GLOBE CHAMOMILE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Oxalis pes-caprae,"AFRICAN WOOD-SORREL, BUTTERCUP OXALIS, SOURGRASS",BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
POOR PLANTS,,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Paeonia lactiflora,CHINESE PEONIES,BAD OR NOXIOUS,doubled hybrids,"Small Trees / Large Shrubs, Evergreen"
Paulownia tomentosa,PRINCESS TREE,BAD OR NOXIOUS,invasive in riparian areas,Smaller trees and large shrubs with mature heights of less than
Pennisetum clandestinum,KIKUYU GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Pennisetum setaceum,CRIMSON FOUNTAINGRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Perovskia atriplicifolia × P. abrotanoides,RUSSIAN SAGE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Persicaria wallichii, syn. Polygonum polystachyum",HIMALAYAN KNOTWEED,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Phalaris arundinacea,REED CANARY GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Phormium cookianum, P. tenax, and hybrids",PHORMIUM,BAD OR NOXIOUS,many of these are invasive,"Small Trees / Large Shrubs, Evergreen"
Pittosporum undulatum,VICTORIAN BOX,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Platanus ×acerifolia,LONDON PLANE TREE,BAD OR NOXIOUS,,Smaller trees and large shrubs with mature heights of less than
Populus alba,WHITE/SILVERLEAF POPLAR,BAD OR NOXIOUS,,Smaller trees and large shrubs with mature heights of less than
Prunus cerasifera,CHERRY PLUM,BAD OR NOXIOUS,invasive in riparian areas and irrigated landscapes,Medium Deciduous Trees
Prunus lusitanica,PORTUGUESE LAUREL CHERRY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Pyracantha angustifolia,NARROWLEAF FIRETHORN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Pyracantha coccinea,SCARLET FIRETHORN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
