scientific_name,common_name,deer_resistant
Chrysogonum virginianum,Green and Gold,True
Clematis viorna,Leatherflower,True
Clematis virginiana,Devil's Darning Needles,True
Clematis x jackmanii,Jackman's Clematis,True
Cleome,Bee Plant,True
Cleome houtteana,Cleome,True
Clethra acuminata,Cinnamonbark Clethra,True
Clethra alnifolia,Alderleaf Clethra,True
Clinopodium nepeta,Lesser Calamint,True
Colchicum,Autumn Crocus,True
Coleus scutellarioides,Coleus,True
Colocasia,Dasheen,True
Colocasia esculenta,Caladium,True
Comptonia peregrina,Sweet Fern,True
Conoclinium coelestinum,Ageratum,True
Convallaria majalis,Lily of the Valley,True
Coreopsis auriculata,Eared Coreopsis,True
Coreopsis lanceolata,Lanceleaf Coreopsis,True
Coreopsis pubescens,Downy Tickseed,True
Coreopsis tinctoria,Calliopsis,True
Cornus alba,Red-Barked Dogwood,True
Cornus alternifolia,Alternate-leaf Dogwood,True
Cornus canadensis,Bunchberry,True
Cornus controversa,Giant Dogwood,True
Cornus drummondii,Cornel Dogwood,True
Cornus mas,Cornelian Cherry,True
Cornus officinalis,Chinese Cornelian Dogwood,True
Crataegus mollis,Downy Hawthorn,True
Crataegus phaenopyrum,Washington Hawthorn,True
Crinum,Crinum Lily,True
Crocosmia 'Lucifer',Montbretia,True
Crocus,Common Crocus,True
Croton alabamensis,Alabama Croton,True
Cryptomeria japonica,Japanese Cedar,True
Curio repens,Blue Chalksticks,True
Cyclamen hederifolium,Hardy Cyclamen,True
Cynara cardunculus,Cardoon,True
Cyrtomium falcatum,Holly Fern,True
Cyrtomium fortunei,Japanese Holly Fern,True
Cystopteris bulbifera,Berry Bladder Fern,True
Cystopteris fragilis,Brittle Bladder Fern,True
Cystopteris protrusa,Lowland Brittle Fern,True
Dasiphora fruticosa,Bush Cinquefoil,True
Datura wrightii,Sacred Datura,True
Delphinium carolinianum,Carolina Larkspur,True
Delphinium elatum,Delphinium,True
Delphinium grandiflorum,Dwarf Larkspur,True
Dennstaedtia punctilobula,Hay-scented Fern,True
Deparia acrostichoides,Silvery Glade Fern,True
Deutzia,Deutzia,True
Deutzia crenata,Deutzia,True
Deutzia gracilis,Slender Deutzia,True
Deutzia ningpoensis,Ningbo Deutzia,True
Deutzia scabra,Pride-of-Rochester,True
Deutzia x lemoinei,Lemoine Deutzia,True
Dicentra canadensis,Squirrel Corn,True
Dicentra cucullaria,Dutchman's Breeches,True
Dicentra eximia,Bleeding-heart,True
Dictamnus albus,Burning Bush,True
Diervilla sessilifolia,Bush Honeysuckle,True
Digitalis purpurea,Common Foxglove,True
Diospyros virginiana,American Persimmon,True
Distylium racemosum,Isu tree,True
Dryopteris,Buckler Fern,True
Dryopteris affinis,Golden Male Fern,True
Dryopteris carthusiana,Shield Fern,True
Dryopteris celsa,Log Fern,True
Dryopteris cristata,Crested Woodfern,True
Dryopteris dilatata,Broad Buckler Fern,True
Dryopteris erythrosora,Autumn Fern,True
Dryopteris filix-mas,Male Fern,True
Dryopteris goldieana,Giant Woodfern,True
Dryopteris intermedia,Evergreen Woodfern,True
Dryopteris ludoviciana,Southern Woodfern,True
Dryopteris marginalis,Evergreen Woodfern,True
Dryopteris sieboldii,Siebold's Woodfern,True
Dryopteris villarii,Rigid Buckler Fern,True
Dryopteris wallichiana,Wallich's Woodfern,True
Dryopteris x australis,Dixie Woodfern,True
Echinacea laevigata,Smooth Purple Coneflower,True
Echinacea pallida,Pale Purple Coneflower,True
Echinacea paradoxa,Bushe's Coneflower,True
Echinacea purpurea,Purple Coneflower,True
Epimedium x versicolor 'Sulphureum',Bicolor Barrenwort,True
Epimedium x youngianum 'Niveum',Bishop's Hat,True
Equisetum arvense,Common Horsetail,True
Equisetum praealtum,Scouring Rush,True
Eranthis cilicica,Winter Aconite,True
Eremurus,Desert Candle,True
Erica carnea,Alpine Heath,True
Erigeron,Common Fleabane,True
Eriobotrya japonica,Japanese Medlar,True
Eriocapitella hupehensis,Chinese Anemone,True
Eriocapitella x hybrida,Japanese Anemone,True
Eryngium aquaticum,Bitter Snakeroot,True
Eryngium planum,Blue Eryngo,True
Eryngium yuccifolium,Beargrass,True
Erysimum x hybrida,Wallflower,True
Eubotrys racemosa,Swamp Doghobble,True
Eucomis comosa 'Sparkling Burgundy',Pineapple Lily,True
Eupatorium altissimum,Tall Boneset,True
Eupatorium capillifolium,Dogfennel,True
Eupatorium perfoliatum,American Boneset,True
Euphorbia,Euphorbia,True
Euphorbia amygdaloides subsp. robbiae,Mrs. Robb's Bonnet,True
Euphorbia characias,Albanian Spurge,True
Euphorbia corollata,Baby's Breath of the Prairie,True
Euphorbia cotinifolia,Caribbean Cooper Plant,True
Euphorbia epithymoides,Cushion Euphorbia,True
Eutrochium dubium,Coastal Plain Joe Pye Weed,True
Eutrochium maculatum,Joe-Pye-weed,True
Eutrochium purpureum,Joe-Pye Weed,True
Fagus sylvatica,Common Beech,True
Fagus sylvatica 'Asplenifolia',Fern Leaved Beech,True
Fagus sylvatica f. pendula,Weeping European Beech,True
Fallopia aubertii,Fleece Vine,True
Farfugium japonicum,Leopard Plant,True
Festuca rubra,Creeping Red Fescue,True
Ficus pumila,Climbing Fig,True
Firmiana simplex,Chinese Bottletree,True
Forsythia ovata,Early Forsythia,True
Forsythia viridissima,Golden Bells,True
Fothergilla gardenii,Dwarf Fothergilla,True
Fothergilla latifolia,Large Fothergilla,True
Fothergilla 'Mount Airy',Dwarf Fothergilla,True
Fraxinus americana,White Ash,True
Fraxinus pennsylvanica,Green Ash,True
Fraxinus profunda,Pumpkin Ash,True
Fritillaria meleagris,Snakeshead Lily,True
Gaillardia x grandiflora,Blanket Flower,True
Galanthus elwesii,Giant Snowdrop,True
Galanthus nivalis,Common Snowdrop,True
Gardenia jasminoides,Cape Jasmine,True
Garrya elliptica,Coast Silktassel,True
Gypsophila elegans,Baby's Breath,True
Gypsophila paniculata,Baby's Breath,True
Hakonechloa macra,Forest Grass,True
Hamamelis mollis,Chinese Witchhazel,True
Hamamelis vernalis,Ozark Witch Hazel,True
Hamamelis virginiana,Common Witchhazel,True
Hamamelis x intermedia,Hybrid Witchhazel,True
Helenium,Sneezeweed,True
Helenium autumnale,Autumn Sneezeweed,True
Helenium flexuosum,Purple-headed Sneezeweed,True
Helianthus atrorubens,Appalachian Sunflower,True
Helianthus divaricatus,Rough Sunflower,True
Helianthus maximiliani,Maximilian Sunflower,True
Helictotrichon sempervirens,Blue Oats Grass,True
Heliotropium arborescens,Heliotrope,True
Helleborus,Christmas Roses,True
Helleborus argutifolius,Corsican Hellebore,True
Helleborus croaticus,Croatian Hellebore,True
Helleborus foetidus,Bearsfoot Hellebore,True
Helleborus niger,Black Hellebore,True
Helleborus orientalis,Christmas Rose,True
Helleborus x hybridus,Hybrid Lenten Rose,True
Hesperis matronalis,Dame's Rocket,True
Hesperocyparis arizonica,Arizona Cypress,True
Heuchera,Alumroot,True
Heuchera americana,Alumroot,True
Hyacinthoides hispanica,Spanish Bluebell,True
Hydrangea arborescens,Hills of Snow,True
Hymenocallis,Basket Flower,True
Hypericum kalmianum,St. John's Wort,True
Hyssopus officinalis,Hyssop,True
Iberis amara,Annual Candytuft,True
Iberis sempervirens,Candytuft,True
Ilex,Hollies,True
Ilex chinensis,Kashi Holly,True
Ilex cornuta,Chinese Holly,True
Ilex cornuta 'Burfordii',Burford Holly,True
Ilex crenata,Box Leaved Holly,True
Ilex decidua,Possumhaw,True
Ilex latifolia,Lusterleaf Holly,True
Ilex montana,Mountain Holly,True
Ilex opaca,American Holly,True
Ilex pedunculosa,Longstalk Holly,True
Ilex verticillata,Winterberry,True
Ilex vomitoria,Yaupon,True
Ilex x aquipernyi,Aquipern Holly,True
Ilex x attenuata,Foster Holly,True
Illicium parviflorum,Hardy Anise Shrub,True
Incarvillea delavayi,Hardy Gloxinia,True
Ipomoea alba,Moonflower,True
Ipomoea quamoclit,Cypress Vine,True
Ipomoea tricolor,Morning Glory,True
Ipomopsis rubra,Scarlet Gilia,True
Iris,Flag,True
Iris cristata,Crested Dwarf Iris,True
Iris ensata,Japanese Iris,True
Iris japonica,Butterfly Flower,True
Iris laevigata,Water Iris,True
Iris pallida 'Variegata',Zebra Iris,True
Iris reticulata,Dwarf Iris,True
Iris sibirica,Siberian Iris,True
Iris tectorum,Roof Iris,True
Iris versicolor,Northern Blue Flag,True
Iris virginica,Southern Blue Flag Iris,True
Iris x germanica,Bearded Iris,True
Itea virginica,Virginia Sweetspire,True
Jasminum nudiflorum,Winter Jasmine,True
Juniperus chinensis,Chinese Juniper,True
Juniperus communis,Common Juniper,True
Juniperus conferta,Shore Juniper,True
Juniperus horizontalis,Creeping Juniper,True
Juniperus procumbens,Japanese Garden Juniper,True
Juniperus sabina,Savin Juniper,True
Juniperus scopulorum,Rocky Mountain Juniper,True
Juniperus squamata 'Blue Star',Blue Star Juniper,True
Juniperus virginiana,Eastern Redcedar,True
Juniperus x pfitzeriana,Pfitzer Juniper,True
Kalimeris incisa,Blue Star Kalimeris,True
